audio_id,dataset,category,engine,status,cer,substitution,deletion,insertion,reference_chars
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,google,OK,7.25,4,1,0,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,69
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,google,OK,0.0,0,0,0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,86
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,clova,OK,9.0,4,0,5,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,azure,OK,15.0,11,0,4,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,google,OK,2.0,2,0,0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,100
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,clova,OK,11.19,6,0,9,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,azure,OK,7.46,4,0,6,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,whisper,OK,1.49,2,0,0,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,google,OK,5.22,6,1,0,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,assemblyai,OK,2.99,4,0,0,134
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,clova,OK,34.62,3,24,0,78
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,azure,OK,42.31,8,25,0,78
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,whisper,OK,32.05,6,19,0,78
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,google,OK,39.74,7,24,0,78
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,assemblyai,OK,35.9,5,23,0,78
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,whisper,OK,2.27,1,0,0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,google,OK,0.0,0,0,0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,assemblyai,OK,4.55,2,0,0,44
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,clova,OK,3.26,3,0,0,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,azure,OK,9.78,6,2,1,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,google,OK,1.09,1,0,0,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,92
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,google,OK,0.0,0,0,0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,clova,OK,4.17,4,0,0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,azure,OK,4.17,2,2,0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,google,OK,1.04,1,0,0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,96
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,clova,OK,28.3,7,8,0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,google,OK,28.3,7,8,0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,53
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,clova,OK,2.17,3,0,0,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,azure,OK,5.8,2,6,0,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,google,OK,2.9,3,1,0,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,138
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,google,OK,2.13,1,0,0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,47
